iteration_number,acc_x_vals,acc_y_vals,acc_z_vals,gyro_x_vals,gyro_y_vals,gyro_z_vals,activity_name,timestamp
1,26.623,-5.550,7.997,2.041,-1.789,-5.233,Walking Upstairs,1665775720233
1,-32.054,-26.755,3.494,-0.842,1.680,-3.922,Walking Upstairs,1665775720472
1,21.055,3.773,23.476,-1.498,7.182,-0.538,Walking Upstairs,1665775720710
1,1.670,0.633,5.350,1.256,1.565,0.376,Walking Upstairs,1665775720947
1,-0.978,3.409,7.664,0.029,0.580,0.240,Walking Upstairs,1665775721186
1,-0.372,4.803,7.717,0.132,0.158,0.436,Walking Upstairs,1665775721424
1,-0.337,4.604,8.687,0.115,0.199,0.292,Walking Upstairs,1665775721662
1,-6.482,-9.832,-7.156,-0.046,-7.511,4.616,Walking Upstairs,1665775721901
1,11.283,-18.933,1.796,3.599,3.864,-6.067,Walking Upstairs,1665775722139
1,45.941,29.488,34.749,-0.282,-0.582,2.926,Walking Upstairs,1665775722377
1,-16.275,-21.716,-16.618,-0.514,-0.748,2.935,Walking Upstairs,1665775722615
1,19.326,-1.656,21.476,3.037,3.351,-4.994,Walking Upstairs,1665775722853
1,17.046,-14.023,14.645,-4.524,-4.755,7.440,Walking Upstairs,1665775723094
1,-1.398,-23.716,1.375,3.981,-2.750,-5.600,Walking Upstairs,1665775723331
1,63.619,19.094,11.711,-1.837,1.360,5.152,Walking Upstairs,1665775723568
1,-27.367,-27.833,-0.302,0.759,-3.977,-4.161,Walking Upstairs,1665775723806
1,51.613,5.588,23.478,-0.625,2.799,-0.202,Walking Upstairs,1665775724046
1,-3.814,-1.162,-0.945,1.009,-0.133,-0.000,Walking Upstairs,1665775724286
2,-1.199,4.137,8.174,0.292,-0.290,0.120,Sitting,1665775730478
2,0.750,5.114,6.533,0.701,-0.271,0.167,Sitting,1665775730718
2,-0.454,6.709,6.447,0.214,-0.268,0.023,Sitting,1665775730957
2,1.653,3.905,9.970,0.151,-0.028,0.293,Sitting,1665775731196
2,2.125,4.803,8.282,-0.488,0.018,0.102,Sitting,1665775731433
2,-0.878,5.143,9.872,0.059,0.296,0.239,Sitting,1665775731671
2,3.605,6.661,11.206,-0.214,-0.798,0.308,Sitting,1665775731912
2,4.941,5.797,8.797,0.522,-0.261,-0.212,Sitting,1665775732148
2,2.807,7.739,6.986,0.728,-0.039,-0.285,Sitting,1665775732387
2,-3.266,6.862,3.626,-0.229,0.273,-0.812,Sitting,1665775732626
2,-1.814,8.180,2.673,0.306,0.997,-0.874,Sitting,1665775732863
2,-1.268,8.146,6.699,-0.471,-0.347,0.001,Sitting,1665775733101
2,3.722,7.751,6.658,-1.014,-0.394,-0.312,Sitting,1665775733338
2,0.594,4.266,14.703,-1.133,-0.337,0.897,Sitting,1665775733579
2,0.922,4.151,8.452,-0.321,-0.777,0.009,Sitting,1665775733816
2,-0.552,5.706,8.033,0.537,0.215,-0.054,Sitting,1665775734054
2,0.343,5.761,8.248,-0.480,-0.342,0.380,Sitting,1665775734293
2,0.004,5.653,7.817,0.131,-0.030,-0.038,Sitting,1665775734532
2,0.256,5.646,7.829,0.042,0.074,-0.083,Sitting,1665775734771
